episode,robot_pos,target_pos,step
166,"[281.174664380393, 165.27849915339587, 52.0]","[282, 155]",825
167,"[585.6808749390331, 399.84027854892634, 224.0]","[586, 410]",737
168,"[508.24415343052914, 331.8456345094051, 58.0]","[511, 322]",412
169,"[614.065959628109, 181.47061997992367, 306.0]","[604, 183]",342
170,"[190.63402432505345, 321.79812272227167, 348.0]","[182, 316]",375
171,"[624.8757874613553, 208.02955802896682, 142.0]","[635, 209]",932
172,"[415.4538415338754, 444.87758002293236, 210.0]","[418, 455]",162
173,"[577.4572438507149, 197.0994745455245, 272.0]","[570, 204]",337
174,"[516.0367981208326, 263.54714377207677, 302.0]","[506, 266]",578
175,"[629.1758792172212, 392.9968780778957, 194.0]","[634, 402]",736
176,"[702.4975144896422, 368.5683360538311, 198.0]","[707, 378]",1126
177,"[244.9780144789543, 426.8121338232566, 328.0]","[235, 425]",1253
178,"[326.10902338392697, 129.04400668937026, 154.0]","[336, 132]",722
179,"[191.07012509382372, 256.18170750105435, 54.0]","[193, 246]",494
180,"[348.9054777755409, 435.8104129147119, 212.0]","[351, 446]",675
181,"[177.16297424644483, 379.1228100567726, 22.0]","[173, 370]",380
182,"[709.3130459237811, 168.98404100216405, 162.0]","[718, 174]",986
183,"[341.96545066349455, 98.1481460787009, 44.0]","[342, 88]",859
184,"[150.82430384900374, 102.96716804967349, 36.0]","[149, 93]",687
185,"[689.9619313805475, 472.8229569394232, 138.0]","[700, 474]",144
186,"[335.1479544194262, 281.79223403171267, 144.0]","[345, 284]",795
187,"[383.53450355473666, 76.98480589023578, 54.0]","[385, 67]",462
188,"[376.07253412700607, 427.0058475851074, 306.0]","[366, 428]",840
189,"[609.909982336992, 101.95215538613148, 128.0]","[620, 101]",723
190,"[420.38053917532847, 489.9599220905875, 152.0]","[430, 493]",119
191,"[170.31876672985322, 538.5330808758263, 316.0]","[160, 538]",1073
192,"[272.99011931988446, 83.26550817668414, 98.0]","[281, 77]",282
193,"[511.36405640511896, 215.86589316090294, 56.0]","[514, 206]",695
194,"[352.31028636286493, 172.07579176767598, 90.0]","[360, 165]",742
195,"[580.3953087519066, 319.90487684803924, 182.0]","[587, 328]",334
196,"[87.61094208304732, 103.14035228254487, 46.0]","[88, 93]",694
197,"[356.403063128969, 266.95032465660705, 222.0]","[357, 277]",652
198,"[556.9060127348283, 223.6534981000425, 130.0]","[567, 223]",890
199,"[532.9594768488722, 146.5102710445191, 330.0]","[523, 144]",454
200,"[658.8775122334753, 74.00819577082672, 138.0]","[669, 75]",1318
201,"[655.6440806992578, 183.62939176022, 100.0]","[664, 178]",477
202,"[591.2095699300822, 287.1203363313051, 152.0]","[601, 290]",623
203,"[591.7890739956798, 240.6278067313446, 76.0]","[597, 232]",461
204,"[537.9854589790494, 102.81178843864437, 104.0]","[547, 98]",917
205,"[567.1840265367728, 534.1116905267673, 282.0]","[559, 540]",842
206,"[502.1019813845324, 346.5677024031673, 316.0]","[492, 346]",115
207,"[703.3327172725649, 315.0732864133931, 198.0]","[708, 324]",942
208,"[331.202369509079, 228.58553117443878, 16.0]","[326, 220]",885
209,"[609.3890086959569, 163.27853453172872, 186.0]","[616, 171]",766
210,"[662.8170406634343, 169.53558191683462, 144.0]","[673, 171]",1177
211,"[707.9814342175638, 335.4321550334287, 186.0]","[714, 344]",930
212,"[476.22320835716397, 273.0914509679414, 242.0]","[473, 283]",526
213,"[202.70674090125726, 532.9294526015003, 334.0]","[193, 529]",1476
214,"[160.29188726219786, 292.0859443419221, 46.0]","[160, 282]",912
215,"[358.8357196745576, 236.83997050222519, 182.0]","[366, 244]",472
216,"[112.33507250146575, 60.497553800161484, 84.0]","[119, 53]",993
217,"[327.01029025802114, 269.1254630233114, 10.0]","[321, 261]",704
